Datetime,CH4_dry,species,ALARM_STATUS_G23,CH4_G23,bg_G23,CH4_ele_G23,Longitude,Latitude,Speed [m/s]
2024-06-11 12:04:38.404,2.0034013531,1.0,0,1.9080524110810235,1.9097501418437284,-0.0016977307627048521,5.165352553333333,52.087603386666665,3.0233333333333334
2024-06-11 12:04:38.914,2.392640679,1.0,0,2.309463516147567,1.9097501418437284,0.3997133743038386,5.165351326666667,52.087617603333335,3.1366666666666667
2024-06-11 12:04:41.398,2.392640679,1.0,0,2.309463516147567,1.9097501418437284,0.3997133743038386,5.165326220000001,52.08766272,0.545
2024-06-11 12:04:44.229,3.0565698763,1.0,0,2.9941542322202936,1.9097501418437284,1.0844040903765653,5.165289205,52.087688385,0.915
2024-06-11 12:04:47.078,2.9137183504,1.0,0,2.846835641686374,1.9097501418437284,0.9370854998426454,5.165271885,52.087722275000004,0.8049999999999999
2024-06-11 12:04:50.226,2.8774876932,1.0,0,2.809472027127871,1.9097501418437284,0.8997218852841427,5.165258925,52.087772485,0.535
2024-06-11 12:04:53.088,2.7838622453,1.0,0,2.7129188476232273,1.9097501418437284,0.803168705779499,5.1652578600000005,52.08780179,0.505
2024-06-11 12:04:55.948,2.7058847702,1.0,0,2.6325029636993316,1.9097501418437284,0.7227528218556032,5.16526938,52.08780299,0.185
2024-06-11 12:04:58.821,2.6519596083,1.0,0,2.576891525211915,1.9097501418437284,0.6671413833681867,5.16530499,52.08777982,0.0
2024-06-11 12:05:01.838,2.419894559,1.0,0,2.337569643561223,1.9097501418437284,0.42781950171749483,5.165328195,52.087756025000004,0.0
2024-06-11 12:05:04.782,2.2648391332,1.0,0,2.177665528854859,1.9097501418437284,0.2679153870111308,5.16534373,52.08772477,0.0
2024-06-11 12:05:07.898,2.2133155373,1.0,0,2.124530754974035,1.9097501418437284,0.2147806131303065,5.1653374549999995,52.087713905,0.0
2024-06-11 12:05:10.904,2.2594951029,1.0,0,2.172154387082963,1.9097501418437284,0.26240424523923456,5.165334055,52.087710404999996,0.0
2024-06-11 12:05:13.927,2.2713618587,1.0,0,2.184392224429482,1.9098165507667981,0.2745756736626839,5.1653331950000005,52.08770742,0.0
